Seychelles,0,0
Syrian Arab Republic,15071.37,11323.696
Turks and Caicos Islands,0,0
Chad,0,0
Togo,0,0
Thailand,77172.015,35474.558
Tajikistan,799.406,1437.464
Turkmenistan,43728.975,24968.603
Timor-Leste,0,
Tonga,0,0
Trinidad and Tobago,44337.697,18870.382
Tunisia,10520.623,5339.152
Turkey,84256.659,28943.631
Tuvalu,,
Tanzania,1620.814,0
Uganda,0,0
Ukraine,107303.754,142616.964
Upper middle income,1315122.89,602237.8786
Uruguay,146.68,62.339
United States,1319980.654,1263292.501
Uzbekistan,95965.39,94670.939
St. Vincent and the Grenadines,0,0
"Venezuela, RB",59475.073,53409.855
Virgin Islands (U.S.),,
Vietnam,16292.481,3065.612
Vanuatu,0,0
West Bank and Gaza,0,0
World,14656999,8665121
Samoa,0,0
"Yemen, Rep.",1782.162,0
South Africa,8694.457,3201.291
"Congo, Dem. Rep.",14.668,0
Zambia,0,0
Zimbabwe,0,0
